node_type_id pop_name model_type model_template morphology dynamics_params pop_group
100 EC biophysical hoc:IzhiCell_EC2 blank.swc NULL EC
101 CA3e biophysical hoc:CA3PyramidalCell blank.swc NULL CA3
102 CA3o biophysical hoc:IzhiCell_OLM blank.swc NULL CA3
103 CA3b biophysical hoc:IzhiCell_BC blank.swc NULL CA3
104 DGg biophysical hoc:DGCell blank.swc NULL DG
105 DGh biophysical hoc:IzhiCell_OLM blank.swc NULL DG
106 DGb biophysical hoc:IzhiCell_BC blank.swc NULL DG
107 bgnoisenodesCA3 point_process nrn:IntFire1 NULL background2CA3_IntFire1Netstim.json bgnoisenodesCA3
108 bgnoisenodesDG point_process nrn:IntFire1 NULL background2DG_IntFire1Netstim.json bgnoisenodesDG
109 bgnoisenodesEC point_process nrn:IntFire1 NULL background2CA3_IntFire1Netstim.json bgnoisenodesEC
