node_type_id pop_name model_template pop_group model_type dynamics_params morphology
100 EC hoc:IzhiCell_EC2 EC biophysical NULL blank.swc
101 CA3e hoc:CA3PyramidalCell CA3 biophysical NULL blank.swc
102 CA3o hoc:IzhiCell_OLM CA3 biophysical NULL blank.swc
103 CA3b hoc:IzhiCell_BC CA3 biophysical NULL blank.swc
104 DGg hoc:DGCell DG biophysical NULL blank.swc
105 DGh hoc:IzhiCell_OLM DG biophysical NULL blank.swc
106 DGb hoc:IzhiCell_BC DG biophysical NULL blank.swc
107 bgnoisenodesCA3 nrn:IntFire1 bgnoisenodesCA3 point_process background2CA3_IntFire1Netstim.json NULL
108 bgnoisenodesDG nrn:IntFire1 bgnoisenodesDG point_process background2DG_IntFire1Netstim.json NULL
109 bgnoisenodesEC nrn:IntFire1 bgnoisenodesEC point_process background2CA3_IntFire1Netstim.json NULL
