node_type_id model_type pop_name morphology dynamics_params model_template pop_group
100 biophysical EC blank.swc NULL hoc:IzhiCell_EC2 EC
101 biophysical CA3e blank.swc NULL hoc:CA3PyramidalCell CA3
102 biophysical CA3o blank.swc NULL hoc:IzhiCell_OLM CA3
103 biophysical CA3b blank.swc NULL hoc:IzhiCell_BC CA3
104 biophysical DGg blank.swc NULL hoc:DGCell DG
105 biophysical DGh blank.swc NULL hoc:IzhiCell_OLM DG
106 biophysical DGb blank.swc NULL hoc:IzhiCell_BC DG
107 point_process bgnoisenodesCA3 NULL background2CA3_IntFire1Netstim.json nrn:IntFire1 bgnoisenodesCA3
108 point_process bgnoisenodesDG NULL background2DG_IntFire1Netstim.json nrn:IntFire1 bgnoisenodesDG
109 point_process bgnoisenodesEC NULL background2CA3_IntFire1Netstim.json nrn:IntFire1 bgnoisenodesEC
