timestamps population node_ids
495.40000000017835 hippocampus 30
102.30000000009633 hippocampus 32
142.90000000009823 hippocampus 33
88.7000000000971 hippocampus 36
456.30000000016946 hippocampus 39
63.40000000009854 hippocampus 40
399.2000000001565 hippocampus 43
198.40000000011085 hippocampus 45
301.00000000013415 hippocampus 46
373.8000000001507 hippocampus 47
112.20000000009577 hippocampus 48
69.4000000000982 hippocampus 50
257.50000000012426 hippocampus 51
149.60000000009975 hippocampus 55
352.3000000001458 hippocampus 57
398.5000000001563 hippocampus 58
288.70000000013135 hippocampus 59
475.20000000017376 hippocampus 84
351.10000000014554 hippocampus 85
382.80000000015275 hippocampus 89
325.70000000013977 hippocampus 90
177.40000000010608 hippocampus 92
492.1404850826968 hippocampus 557
98.981451368862 hippocampus 559
139.56859106310188 hippocampus 560
85.36101590593964 hippocampus 563
452.96484949081315 hippocampus 566
60.12116031022386 hippocampus 567
395.8623575492083 hippocampus 570
195.05388146284224 hippocampus 572
297.68103967059153 hippocampus 573
370.49226385774625 hippocampus 574
108.87666155507841 hippocampus 575
66.08129509922618 hippocampus 577
254.24630327729 hippocampus 578
146.32444935956678 hippocampus 582
349.0282419110369 hippocampus 584
395.18240749550006 hippocampus 585
285.4320350986232 hippocampus 586
471.90330859929514 hippocampus 611
347.84387539238236 hippocampus 612
379.4809189452421 hippocampus 616
322.36821202430923 hippocampus 617
174.0833502615173 hippocampus 619
868.8999999998575 hippocampus 31
662.5000000000452 hippocampus 35
872.2999999998544 hippocampus 38
840.4999999998834 hippocampus 41
756.7999999999595 hippocampus 44
755.1999999999609 hippocampus 52
595.6000000001061 hippocampus 53
741.9999999999729 hippocampus 54
735.0999999999792 hippocampus 56
843.9999999998802 hippocampus 86
961.0999999997737 hippocampus 91
865.5523785786346 hippocampus 558
659.1579792525653 hippocampus 562
869.0053705955153 hippocampus 565
837.2144556854804 hippocampus 568
753.4999530345932 hippocampus 571
751.8845878883639 hippocampus 579
592.3100026742945 hippocampus 580
738.7145512017962 hippocampus 581
731.7761726288934 hippocampus 583
840.7440794728557 hippocampus 613
957.8424626839584 hippocampus 618
1188.0999999995672 hippocampus 42
1124.0999999996254 hippocampus 88
1184.7872988201386 hippocampus 569
1120.8049873015302 hippocampus 615
1703.6999999990983 hippocampus 37
1541.9999999992453 hippocampus 49
1542.299999999245 hippocampus 83
1700.4308315531284 hippocampus 564
1538.7177302996492 hippocampus 576
1539.038202283312 hippocampus 610
2615.2000000008484 hippocampus 34
2890.1000000018485 hippocampus 60
2516.8000000004904 hippocampus 61
2777.1000000014374 hippocampus 62
2611.91407288488 hippocampus 561
2886.808429871934 hippocampus 587
2513.4563081756523 hippocampus 588
2773.751942178149 hippocampus 589
7814.400000019763 hippocampus 87
7811.138259887663 hippocampus 614
