timestamps population node_ids
495.30000000017833 hippocampus 30
102.20000000009634 hippocampus 32
142.8000000000982 hippocampus 33
88.60000000009711 hippocampus 36
456.20000000016944 hippocampus 39
63.40000000009854 hippocampus 40
399.10000000015646 hippocampus 43
198.30000000011083 hippocampus 45
300.9000000001341 hippocampus 46
373.7000000001507 hippocampus 47
112.20000000009577 hippocampus 48
69.4000000000982 hippocampus 50
257.40000000012424 hippocampus 51
149.50000000009973 hippocampus 55
352.2000000001458 hippocampus 57
398.4000000001563 hippocampus 58
288.60000000013133 hippocampus 59
475.10000000017374 hippocampus 84
351.0000000001455 hippocampus 85
382.7000000001527 hippocampus 89
325.60000000013974 hippocampus 90
177.30000000010605 hippocampus 92
492.1404850826968 hippocampus 557
98.981451368862 hippocampus 559
139.56859106310188 hippocampus 560
85.36101590593964 hippocampus 563
452.96484949081315 hippocampus 566
60.12116031022386 hippocampus 567
395.8623575492083 hippocampus 570
195.05388146284224 hippocampus 572
297.68103967059153 hippocampus 573
370.49226385774625 hippocampus 574
108.87666155507841 hippocampus 575
66.08129509922618 hippocampus 577
254.24630327729 hippocampus 578
146.32444935956678 hippocampus 582
349.0282419110369 hippocampus 584
395.18240749550006 hippocampus 585
285.4320350986232 hippocampus 586
471.90330859929514 hippocampus 611
347.84387539238236 hippocampus 612
379.4809189452421 hippocampus 616
322.36821202430923 hippocampus 617
174.0833502615173 hippocampus 619
868.7999999998576 hippocampus 31
662.4000000000453 hippocampus 35
872.1999999998545 hippocampus 38
840.3999999998834 hippocampus 41
756.6999999999596 hippocampus 44
755.099999999961 hippocampus 52
595.5000000001062 hippocampus 53
741.899999999973 hippocampus 54
734.9999999999793 hippocampus 56
843.8999999998803 hippocampus 86
960.9999999997738 hippocampus 91
865.5523785786346 hippocampus 558
659.1579792525653 hippocampus 562
869.0053705955153 hippocampus 565
837.2144556854804 hippocampus 568
753.4999530345932 hippocampus 571
751.8845878883639 hippocampus 579
592.3100026742945 hippocampus 580
738.7145512017962 hippocampus 581
731.7761726288934 hippocampus 583
840.7440794728557 hippocampus 613
957.8424626839584 hippocampus 618
1187.9999999995673 hippocampus 42
1123.9999999996255 hippocampus 88
1184.7872988201386 hippocampus 569
1120.8049873015302 hippocampus 615
1703.5999999990984 hippocampus 37
1541.8999999992454 hippocampus 49
1542.1999999992452 hippocampus 83
1700.4308315531284 hippocampus 564
1538.7177302996492 hippocampus 576
1539.038202283312 hippocampus 610
2615.100000000848 hippocampus 34
2890.1000000018485 hippocampus 60
2516.8000000004904 hippocampus 61
2777.000000001437 hippocampus 62
2611.91407288488 hippocampus 561
2886.808429871934 hippocampus 587
2513.4563081756523 hippocampus 588
2773.751942178149 hippocampus 589
7814.400000019763 hippocampus 87
7811.138259887663 hippocampus 614
