timestamps population node_ids
496.0000000001785 hippocampus 30
102.8000000000963 hippocampus 32
143.40000000009834 hippocampus 33
429.00000000016325 hippocampus 33
90.00000000009703 hippocampus 36
459.0000000001701 hippocampus 39
63.90000000009851 hippocampus 40
401.70000000015705 hippocampus 43
199.80000000011117 hippocampus 45
302.2000000001344 hippocampus 46
376.5000000001513 hippocampus 47
113.5000000000957 hippocampus 48
70.40000000009815 hippocampus 50
107.10000000009606 hippocampus 50
339.20000000014284 hippocampus 50
258.0000000001244 hippocampus 51
150.90000000010005 hippocampus 55
353.30000000014604 hippocampus 57
399.90000000015664 hippocampus 58
289.50000000013154 hippocampus 59
476.40000000017403 hippocampus 84
351.60000000014566 hippocampus 85
385.1000000001533 hippocampus 89
326.2000000001399 hippocampus 90
178.20000000010626 hippocampus 92
146.00000000009894 hippocampus 93
158.2000000001017 hippocampus 93
354.9000000001464 hippocampus 93
427.800000000163 hippocampus 93
98.00000000009658 hippocampus 94
350.20000000014534 hippocampus 94
375.100000000151 hippocampus 94
461.2000000001706 hippocampus 94
92.2000000000969 hippocampus 95
153.40000000010062 hippocampus 95
322.90000000013913 hippocampus 95
378.5000000001518 hippocampus 95
422.2000000001617 hippocampus 95
483.60000000017567 hippocampus 95
108.90000000009596 hippocampus 96
124.1000000000951 hippocampus 96
304.3000000001349 hippocampus 96
345.3000000001442 hippocampus 96
387.3000000001538 hippocampus 96
416.8000000001605 hippocampus 96
123.40000000009513 hippocampus 97
163.10000000010282 hippocampus 97
360.5000000001477 hippocampus 97
95.60000000009671 hippocampus 98
108.50000000009598 hippocampus 98
226.3000000001172 hippocampus 98
390.20000000015443 hippocampus 98
403.6000000001575 hippocampus 98
145.10000000009873 hippocampus 99
202.50000000011178 hippocampus 99
363.90000000014845 hippocampus 99
448.30000000016764 hippocampus 99
478.4000000001745 hippocampus 99
105.40000000009616 hippocampus 100
116.20000000009554 hippocampus 100
163.10000000010282 hippocampus 100
202.00000000011167 hippocampus 100
328.30000000014036 hippocampus 100
342.5000000001436 hippocampus 100
378.80000000015184 hippocampus 100
404.1000000001576 hippocampus 100
869.499999999857 hippocampus 31
663.3000000000445 hippocampus 35
680.6000000000288 hippocampus 36
783.0999999999356 hippocampus 36
873.4999999998533 hippocampus 38
514.7000000001797 hippocampus 40
683.0000000000266 hippocampus 40
841.4999999998824 hippocampus 41
603.2000000000992 hippocampus 43
757.6999999999587 hippocampus 44
804.9999999999156 hippocampus 45
758.8999999999576 hippocampus 52
898.099999999831 hippocampus 52
596.6000000001052 hippocampus 53
742.999999999972 hippocampus 54
774.899999999943 hippocampus 54
735.9999999999784 hippocampus 56
656.8000000000504 hippocampus 57
557.1000000001411 hippocampus 58
845.3999999998789 hippocampus 86
635.30000000007 hippocampus 89
895.899999999833 hippocampus 89
962.0999999997728 hippocampus 91
663.6000000000442 hippocampus 92
737.3999999999771 hippocampus 92
559.7000000001387 hippocampus 93
606.6000000000961 hippocampus 93
666.3000000000418 hippocampus 93
745.19999999997 hippocampus 93
763.899999999953 hippocampus 93
776.8999999999412 hippocampus 93
871.7999999998549 hippocampus 93
900.9999999998283 hippocampus 93
564.900000000134 hippocampus 94
659.2000000000482 hippocampus 94
682.9000000000267 hippocampus 94
745.4999999999698 hippocampus 94
776.5999999999415 hippocampus 94
797.2999999999226 hippocampus 94
860.4999999998652 hippocampus 94
885.7999999998422 hippocampus 94
989.5999999997478 hippocampus 94
533.3000000001628 hippocampus 95
684.9000000000249 hippocampus 95
767.4999999999498 hippocampus 95
847.2999999998772 hippocampus 95
605.7000000000969 hippocampus 96
642.4000000000635 hippocampus 96
807.0999999999137 hippocampus 96
926.8999999998048 hippocampus 96
510.40000000018176 hippocampus 97
659.1000000000483 hippocampus 97
680.7000000000287 hippocampus 97
745.2999999999699 hippocampus 97
773.6999999999441 hippocampus 97
879.7999999998476 hippocampus 97
924.7999999998067 hippocampus 97
558.4000000001399 hippocampus 98
608.2000000000946 hippocampus 98
685.1000000000247 hippocampus 98
776.8999999999412 hippocampus 98
797.6999999999223 hippocampus 98
891.9999999998365 hippocampus 98
581.8000000001186 hippocampus 99
682.5000000000271 hippocampus 99
764.1999999999528 hippocampus 99
844.0999999998801 hippocampus 99
609.7000000000933 hippocampus 100
682.0000000000275 hippocampus 100
810.7999999999104 hippocampus 100
964.2999999997708 hippocampus 100
1066.8999999996774 hippocampus 30
1084.2999999996616 hippocampus 31
1294.99999999947 hippocampus 31
1254.4999999995068 hippocampus 39
1107.3999999996406 hippocampus 40
1437.2999999993406 hippocampus 40
1189.499999999566 hippocampus 42
1070.8999999996738 hippocampus 46
1328.2999999994397 hippocampus 48
1189.399999999566 hippocampus 51
1277.1999999994862 hippocampus 52
1304.2999999994615 hippocampus 52
1026.3999999997143 hippocampus 54
1185.5999999995695 hippocampus 54
1152.6999999995994 hippocampus 55
1004.7999999997339 hippocampus 85
1125.4999999996242 hippocampus 88
1087.7999999996584 hippocampus 89
1076.6999999996685 hippocampus 90
1044.0999999996982 hippocampus 93
1086.4999999996596 hippocampus 93
1171.3999999995824 hippocampus 93
1192.2999999995634 hippocampus 93
1296.8999999994683 hippocampus 93
1306.1999999994598 hippocampus 93
1376.6999999993957 hippocampus 93
1044.8999999996975 hippocampus 94
1187.8999999995674 hippocampus 94
1279.699999999484 hippocampus 94
1306.3999999994596 hippocampus 94
1483.1999999992988 hippocampus 94
1019.5999999997205 hippocampus 95
1090.2999999996562 hippocampus 95
1123.6999999996258 hippocampus 95
1158.599999999594 hippocampus 95
1206.2999999995507 hippocampus 95
1412.1999999993634 hippocampus 95
1465.8999999993146 hippocampus 95
1039.4999999997024 hippocampus 96
1090.0999999996563 hippocampus 96
1137.0999999996136 hippocampus 96
1256.7999999995047 hippocampus 96
1068.8999999996756 hippocampus 97
1092.599999999654 hippocampus 97
1189.5999999995659 hippocampus 97
1297.099999999468 hippocampus 97
1306.3999999994596 hippocampus 97
1094.2999999996525 hippocampus 98
1193.4999999995623 hippocampus 98
1017.899999999722 hippocampus 99
1112.6999999996358 hippocampus 99
1257.3999999995042 hippocampus 99
1463.299999999317 hippocampus 99
1078.7999999996666 hippocampus 100
1118.8999999996302 hippocampus 100
1144.1999999996071 hippocampus 100
1343.1999999994262 hippocampus 100
1704.099999999098 hippocampus 37
1864.2999999989522 hippocampus 37
1992.6999999988354 hippocampus 44
1909.699999998911 hippocampus 48
1542.5999999992448 hippocampus 49
1945.5999999988783 hippocampus 50
1548.3999999992395 hippocampus 51
1814.3999999989976 hippocampus 51
1518.3999999992668 hippocampus 54
1963.6999999988618 hippocampus 55
1723.3999999990804 hippocampus 58
1542.9999999992444 hippocampus 83
1959.3999999988657 hippocampus 84
1591.1999999992006 hippocampus 85
1692.4999999991085 hippocampus 88
1814.7999999989972 hippocampus 88
1567.699999999222 hippocampus 89
1979.1999999988477 hippocampus 89
1681.4999999991185 hippocampus 91
1545.799999999242 hippocampus 93
1724.999999999079 hippocampus 93
1866.79999999895 hippocampus 93
1981.7999999988454 hippocampus 93
1531.399999999255 hippocampus 94
1725.6999999990783 hippocampus 94
1920.7999999989008 hippocampus 94
1606.9999999991862 hippocampus 95
1706.199999999096 hippocampus 95
1838.6999999989755 hippocampus 95
1875.6999999989418 hippocampus 95
1965.9999999988597 hippocampus 95
1548.899999999239 hippocampus 96
1607.7999999991855 hippocampus 96
1694.7999999991064 hippocampus 96
1827.6999999989855 hippocampus 96
1948.4999999988756 hippocampus 96
1981.199999998846 hippocampus 96
1500.0999999992835 hippocampus 97
1555.8999999992327 hippocampus 97
1873.1999999989441 hippocampus 97
1516.5999999992684 hippocampus 98
1549.099999999239 hippocampus 98
1725.899999999078 hippocampus 98
1919.599999998902 hippocampus 98
1596.0999999991961 hippocampus 99
1965.2999999988604 hippocampus 99
1574.6999999992156 hippocampus 100
1694.4999999991066 hippocampus 100
1824.899999998988 hippocampus 100
1947.6999999988764 hippocampus 100
2258.6999999995514 hippocampus 30
2490.300000000394 hippocampus 31
2090.899999998941 hippocampus 32
2361.099999999924 hippocampus 33
2139.3999999991174 hippocampus 37
2435.300000000194 hippocampus 40
2041.599999998791 hippocampus 42
2294.4999999996817 hippocampus 43
2407.300000000092 hippocampus 47
2015.3999999988148 hippocampus 49
2241.6999999994896 hippocampus 50
2356.999999999909 hippocampus 52
2002.099999998827 hippocampus 53
2055.999999998814 hippocampus 54
2128.3999999990774 hippocampus 54
2289.399999999663 hippocampus 54
2206.599999999362 hippocampus 55
2156.299999999179 hippocampus 58
2101.299999998979 hippocampus 59
2258.0999999995493 hippocampus 84
2354.8999999999014 hippocampus 84
2024.4999999988065 hippocampus 85
2368.499999999951 hippocampus 86
2253.099999999531 hippocampus 90
2450.3000000002485 hippocampus 92
2039.299999998793 hippocampus 93
2097.3999999989646 hippocampus 93
2142.0999999991272 hippocampus 93
2165.099999999211 hippocampus 93
2226.199999999433 hippocampus 93
2294.6999999996824 hippocampus 93
2363.6999999999334 hippocampus 93
2496.100000000415 hippocampus 93
2058.2999999988224 hippocampus 94
2130.3999999990847 hippocampus 94
2158.3999999991865 hippocampus 94
2292.099999999673 hippocampus 94
2439.3000000002085 hippocampus 94
2001.999999998827 hippocampus 95
2043.699999998789 hippocampus 95
2142.3999999991283 hippocampus 95
2217.9999999994034 hippocampus 95
2297.899999999694 hippocampus 95
2370.499999999958 hippocampus 95
2409.7000000001008 hippocampus 95
2440.2000000002117 hippocampus 95
2000.2999999988285 hippocampus 96
2043.5999999987891 hippocampus 96
