node_type_id dynamics_params morphology model_type model_template pop_name pop_group
100 NULL blank.swc biophysical hoc:IzhiCell_EC2 EC EC
101 NULL blank.swc biophysical hoc:CA3PyramidalCell CA3e CA3
102 NULL blank.swc biophysical hoc:IzhiCell_OLM CA3o CA3
103 NULL blank.swc biophysical hoc:IzhiCell_BC CA3b CA3
104 NULL blank.swc biophysical hoc:DGCell DGg DG
105 NULL blank.swc biophysical hoc:IzhiCell_OLM DGh DG
106 NULL blank.swc biophysical hoc:IzhiCell_BC DGb DG
107 background2CA3_IntFire1Netstim.json NULL point_process nrn:IntFire1 bgnoisenodesCA3 bgnoisenodesCA3
108 background2DG_IntFire1Netstim.json NULL point_process nrn:IntFire1 bgnoisenodesDG bgnoisenodesDG
109 background2CA3_IntFire1Netstim.json NULL point_process nrn:IntFire1 bgnoisenodesEC bgnoisenodesEC
