timestamps population node_ids
232.5000000001186 hippocampus 0
240.50000000012042 hippocampus 0
360.6000000001477 hippocampus 0
367.6000000001493 hippocampus 0
402.0000000001571 hippocampus 0
409.20000000015875 hippocampus 0
454.8000000001691 hippocampus 0
461.8000000001707 hippocampus 0
486.8000000001764 hippocampus 0
492.0000000001776 hippocampus 0
22.90000000010019 hippocampus 1
28.300000000100265 hippocampus 1
149.10000000009964 hippocampus 1
154.30000000010082 hippocampus 1
168.10000000010396 hippocampus 1
221.000000000116 hippocampus 1
226.40000000011722 hippocampus 1
338.5000000001427 hippocampus 1
343.9000000001439 hippocampus 1
411.5000000001593 hippocampus 1
417.10000000016055 hippocampus 1
12.400000000100041 hippocampus 2
15.600000000100087 hippocampus 2
24.700000000100214 hippocampus 2
29.700000000100285 hippocampus 2
44.40000000009962 hippocampus 2
49.10000000009935 hippocampus 2
62.60000000009858 hippocampus 2
66.50000000009837 hippocampus 2
71.3000000000981 hippocampus 2
159.60000000010203 hippocampus 2
162.70000000010273 hippocampus 2
204.60000000011226 hippocampus 2
207.70000000011296 hippocampus 2
212.00000000011394 hippocampus 2
231.10000000011829 hippocampus 2
234.90000000011915 hippocampus 2
242.40000000012085 hippocampus 2
247.10000000012192 hippocampus 2
254.10000000012352 hippocampus 2
273.900000000128 hippocampus 2
278.0000000001289 hippocampus 2
319.50000000013836 hippocampus 2
322.60000000013906 hippocampus 2
366.7000000001491 hippocampus 2
369.8000000001498 hippocampus 2
405.800000000158 hippocampus 2
409.10000000015873 hippocampus 2
465.7000000001716 hippocampus 2
469.00000000017235 hippocampus 2
498.6000000001791 hippocampus 2
34.1000000001002 hippocampus 3
37.30000000010002 hippocampus 3
200.10000000011124 hippocampus 3
203.30000000011196 hippocampus 3
208.50000000011315 hippocampus 3
213.90000000011437 hippocampus 3
221.20000000011603 hippocampus 3
231.90000000011847 hippocampus 3
242.1000000001208 hippocampus 3
293.4000000001324 hippocampus 3
296.7000000001332 hippocampus 3
35.60000000010012 hippocampus 4
39.700000000099884 hippocampus 4
89.60000000009705 hippocampus 4
93.70000000009682 hippocampus 4
130.20000000009534 hippocampus 4
134.20000000009625 hippocampus 4
176.30000000010583 hippocampus 4
180.30000000010673 hippocampus 4
399.4000000001565 hippocampus 4
403.10000000015737 hippocampus 4
95.70000000009671 hippocampus 5
104.30000000009622 hippocampus 5
117.70000000009546 hippocampus 5
243.40000000012108 hippocampus 5
250.30000000012265 hippocampus 5
327.00000000014006 hippocampus 5
334.00000000014165 hippocampus 5
390.6000000001545 hippocampus 5
398.0000000001562 hippocampus 5
409.60000000015884 hippocampus 5
16.7000000001001 hippocampus 6
22.30000000010018 hippocampus 6
38.20000000009997 hippocampus 6
117.10000000009549 hippocampus 6
122.70000000009517 hippocampus 6
251.90000000012301 hippocampus 6
257.3000000001242 hippocampus 6
278.9000000001291 hippocampus 6
286.8000000001309 hippocampus 6
472.00000000017303 hippocampus 6
476.40000000017403 hippocampus 6
16.400000000100096 hippocampus 7
25.20000000010022 hippocampus 7
44.7000000000996 hippocampus 7
65.20000000009844 hippocampus 7
71.2000000000981 hippocampus 7
127.70000000009489 hippocampus 7
134.70000000009637 hippocampus 7
191.2000000001092 hippocampus 7
198.30000000011083 hippocampus 7
278.20000000012897 hippocampus 7
285.7000000001307 hippocampus 7
313.0000000001369 hippocampus 7
318.50000000013813 hippocampus 7
486.3000000001763 hippocampus 7
491.2000000001774 hippocampus 7
128.10000000009487 hippocampus 8
131.50000000009564 hippocampus 8
140.30000000009764 hippocampus 8
146.60000000009907 hippocampus 8
172.90000000010505 hippocampus 8
176.50000000010587 hippocampus 8
239.9000000001203 hippocampus 8
243.100000000121 hippocampus 8
251.10000000012283 hippocampus 8
257.50000000012426 hippocampus 8
282.10000000012985 hippocampus 8
285.8000000001307 hippocampus 8
293.7000000001325 hippocampus 8
302.40000000013447 hippocampus 8
346.6000000001445 hippocampus 8
350.0000000001453 hippocampus 8
443.90000000016664 hippocampus 8
447.2000000001674 hippocampus 8
461.4000000001706 hippocampus 8
465.90000000017164 hippocampus 8
494.90000000017824 hippocampus 8
498.300000000179 hippocampus 8
54.70000000009903 hippocampus 9
58.500000000098815 hippocampus 9
223.10000000011647 hippocampus 9
226.90000000011733 hippocampus 9
270.70000000012726 hippocampus 9
274.60000000012815 hippocampus 9
280.30000000012944 hippocampus 9
288.20000000013124 hippocampus 9
413.20000000015966 hippocampus 9
417.10000000016055 hippocampus 9
438.60000000016544 hippocampus 9
442.4000000001663 hippocampus 9
449.1000000001678 hippocampus 9
11.900000000100034 hippocampus 10
16.00000000010009 hippocampus 10
64.0000000000985 hippocampus 10
68.10000000009828 hippocampus 10
103.20000000009628 hippocampus 10
107.20000000009605 hippocampus 10
161.2000000001024 hippocampus 10
165.40000000010335 hippocampus 10
177.60000000010612 hippocampus 10
243.60000000012113 hippocampus 10
247.30000000012197 hippocampus 10
252.80000000012322 hippocampus 10
271.60000000012747 hippocampus 10
278.0000000001289 hippocampus 10
298.2000000001335 hippocampus 10
302.40000000013447 hippocampus 10
309.100000000136 hippocampus 10
405.20000000015784 hippocampus 10
409.20000000015875 hippocampus 10
419.200000000161 hippocampus 10
468.10000000017214 hippocampus 10
472.4000000001731 hippocampus 10
41.30000000009979 hippocampus 11
48.500000000099384 hippocampus 11
60.100000000098724 hippocampus 11
99.60000000009649 hippocampus 11
112.90000000009573 hippocampus 11
141.30000000009787 hippocampus 11
151.5000000001002 hippocampus 11
170.70000000010455 hippocampus 11
220.00000000011576 hippocampus 11
230.3000000001181 hippocampus 11
254.60000000012363 hippocampus 11
286.8000000001309 hippocampus 11
330.10000000014077 hippocampus 11
340.50000000014313 hippocampus 11
363.90000000014845 hippocampus 11
411.7000000001593 hippocampus 11
422.00000000016166 hippocampus 11
32.100000000100316 hippocampus 12
36.20000000010008 hippocampus 12
90.600000000097 hippocampus 12
94.70000000009676 hippocampus 12
115.3000000000956 hippocampus 12
120.20000000009532 hippocampus 12
183.60000000010749 hippocampus 12
187.6000000001084 hippocampus 12
243.9000000001212 hippocampus 12
248.00000000012213 hippocampus 12
295.900000000133 hippocampus 12
299.9000000001339 hippocampus 12
305.80000000013524 hippocampus 12
340.8000000001432 hippocampus 12
344.60000000014406 hippocampus 12
440.6000000001659 hippocampus 12
444.6000000001668 hippocampus 12
95.50000000009672 hippocampus 13
101.60000000009637 hippocampus 13
177.80000000010617 hippocampus 13
183.2000000001074 hippocampus 13
226.40000000011722 hippocampus 13
231.80000000011844 hippocampus 13
241.3000000001206 hippocampus 13
257.7000000001243 hippocampus 13
319.2000000001383 hippocampus 13
324.9000000001396 hippocampus 13
366.60000000014907 hippocampus 13
372.20000000015034 hippocampus 13
392.40000000015493 hippocampus 13
407.2000000001583 hippocampus 13
445.0000000001669 hippocampus 13
450.4000000001681 hippocampus 13
466.6000000001718 hippocampus 13
41.00000000009981 hippocampus 14
44.40000000009962 hippocampus 14
178.50000000010633 hippocampus 14
181.9000000001071 hippocampus 14
288.30000000013126 hippocampus 14
291.600000000132 hippocampus 14
409.3000000001588 hippocampus 14
412.80000000015957 hippocampus 14
39.4000000000999 hippocampus 15
45.300000000099566 hippocampus 15
90.30000000009701 hippocampus 15
96.20000000009668 hippocampus 15
115.40000000009559 hippocampus 15
127.5000000000949 hippocampus 15
135.50000000009655 hippocampus 15
212.90000000011415 hippocampus 15
217.30000000011515 hippocampus 15
228.40000000011767 hippocampus 15
485.4000000001761 hippocampus 15
489.8000000001771 hippocampus 15
63.90000000009851 hippocampus 16
69.80000000009818 hippocampus 16
211.20000000011376 hippocampus 16
217.1000000001151 hippocampus 16
254.20000000012354 hippocampus 16
259.8000000001248 hippocampus 16
307.0000000001355 hippocampus 16
312.6000000001368 hippocampus 16
349.40000000014516 hippocampus 16
355.3000000001465 hippocampus 16
457.8000000001698 hippocampus 16
463.4000000001711 hippocampus 16
495.2000000001783 hippocampus 16
21.200000000100164 hippocampus 17
25.300000000100223 hippocampus 17
43.000000000099696 hippocampus 17
48.90000000009936 hippocampus 17
100.50000000009643 hippocampus 17
104.50000000009621 hippocampus 17
125.800000000095 hippocampus 17
130.5000000000954 hippocampus 17
166.70000000010364 hippocampus 17
170.9000000001046 hippocampus 17
246.30000000012174 hippocampus 17
250.30000000012265 hippocampus 17
313.70000000013704 hippocampus 17
317.70000000013795 hippocampus 17
347.10000000014463 hippocampus 17
351.50000000014563 hippocampus 17
121.80000000009522 hippocampus 18
130.80000000009548 hippocampus 18
180.2000000001067 hippocampus 18
188.40000000010858 hippocampus 18
267.60000000012656 hippocampus 18
274.8000000001282 hippocampus 18
457.8000000001698 hippocampus 18
465.40000000017153 hippocampus 18
69.4000000000982 hippocampus 19
73.50000000009797 hippocampus 19
151.90000000010028 hippocampus 19
155.9000000001012 hippocampus 19
228.1000000001176 hippocampus 19
232.1000000001185 hippocampus 19
244.8000000001214 hippocampus 19
257.90000000012435 hippocampus 19
269.80000000012706 hippocampus 19
365.9000000001489 hippocampus 19
369.8000000001498 hippocampus 19
404.6000000001577 hippocampus 19
